                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    110,                 1.1526,                0.93336,                 1.1904,                0.85786,                0.66868,                0.77398,                0.51843,                 1.2819,                 1.0242,                 1.3546,              0.0089462,              0.0089462,              0.0089462
                    111,                 1.1866,                0.95374,                 1.2294,                0.89211,                0.62935,                0.75584,                0.48021,                 1.2798,                0.95451,                 1.3609,              0.0089365,              0.0089365,              0.0089365
                    112,                  1.161,                0.92657,                 1.1935,                0.78961,                0.66631,                0.75463,                0.49775,                 1.2716,                0.91421,                 1.3601,              0.0089269,              0.0089269,              0.0089269
                    113,                 1.1763,                0.92745,                 1.2267,                0.82913,                0.71051,                 0.8049,                 0.5244,                 1.3007,                0.86752,                 1.3645,              0.0089172,              0.0089172,              0.0089172
                    114,                 1.1437,                 0.8952,                 1.1986,                0.86502,                0.67371,                0.77128,                 0.5055,                  1.339,                0.89542,                  1.386,              0.0089075,              0.0089075,              0.0089075
                    115,                 1.1322,                0.92106,                 1.2056,                0.78677,                0.66315,                0.76225,                0.50235,                 1.2831,                0.90347,                 1.3656,              0.0088979,              0.0088979,              0.0088979
                    116,                 1.1653,                0.91767,                 1.1969,                0.77721,                0.70501,                0.76733,                0.48136,                 1.3125,                0.89489,                 1.3818,              0.0088882,              0.0088882,              0.0088882
                    117,                 1.1707,                0.92997,                 1.1968,                0.84566,                0.68851,                0.76317,                0.48753,                 1.3022,                 0.9187,                 1.3742,              0.0088785,              0.0088785,              0.0088785
                    118,                 1.1225,                0.88196,                 1.1627,                0.79227,                0.69294,                 0.7747,                0.51002,                 1.2897,                0.93786,                 1.3504,              0.0088688,              0.0088688,              0.0088688
                    119,                 1.1689,                  0.944,                 1.1988,                0.81724,                0.58173,                0.71702,                 0.4625,                 1.3908,                 1.0061,                 1.4347,              0.0088592,              0.0088592,              0.0088592
                    120,                 1.1444,                0.95117,                 1.2003,                  0.884,                0.66809,                0.76721,                0.50988,                 1.2599,                0.87073,                 1.3562,              0.0088495,              0.0088495,              0.0088495
                    121,                 1.1431,                0.88928,                  1.188,                0.89231,                0.66201,                0.79472,                0.51806,                 1.2487,                0.85048,                 1.3486,              0.0088398,              0.0088398,              0.0088398
                    122,                 1.1454,                0.92126,                 1.1945,                0.86237,                0.62567,                0.76794,                0.50356,                 1.2565,                0.88549,                 1.3518,              0.0088302,              0.0088302,              0.0088302
                    123,                 1.1345,                0.89099,                 1.1903,                0.78335,                0.71225,                0.78102,                0.51101,                 1.2339,                0.87662,                 1.3195,              0.0088205,              0.0088205,              0.0088205
                    124,                 1.1703,                0.92148,                 1.2094,                0.77273,                0.70042,                0.77171,                0.50521,                 1.2638,                0.92032,                 1.3468,              0.0088108,              0.0088108,              0.0088108
                    125,                 1.1369,                0.90625,                 1.1963,                0.90824,                0.67763,                0.79715,                0.53543,                 1.2833,                0.84866,                 1.3466,              0.0088012,              0.0088012,              0.0088012
                    126,                 1.1518,                0.89431,                 1.2069,                0.84719,                0.59446,                0.73197,                0.45864,                 1.3591,                0.93358,                 1.3637,              0.0087915,              0.0087915,              0.0087915
                    127,                 1.1587,                0.93771,                 1.2088,                0.85429,                 0.6501,                0.75363,                0.50148,                 1.3278,                0.92438,                  1.365,              0.0087818,              0.0087818,              0.0087818
                    128,                 1.1271,                0.89141,                 1.1814,                0.85146,                0.68993,                0.78777,                0.51395,                 1.3055,                0.87797,                 1.3548,              0.0087722,              0.0087722,              0.0087722
                    129,                 1.1568,                0.90613,                 1.2027,                 0.8477,                0.65274,                0.75159,                0.49413,                 1.3054,                0.89502,                 1.3647,              0.0087625,              0.0087625,              0.0087625
                    130,                 1.1267,                0.90392,                 1.1914,                0.85942,                0.68999,                0.78796,                 0.5226,                 1.2687,                 0.8893,                 1.3258,              0.0087528,              0.0087528,              0.0087528
                    131,                 1.1366,                0.91979,                  1.195,                0.83416,                0.69717,                0.80648,                0.51525,                 1.2662,                 0.8754,                 1.3439,              0.0087432,              0.0087432,              0.0087432
                    132,                 1.1251,                0.88356,                 1.1787,                0.85256,                0.63675,                0.74469,                0.47205,                 1.3754,                0.92335,                 1.4036,              0.0087335,              0.0087335,              0.0087335
